rssi,address
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
-73,98421ECE-25A4-08A3-E178-AA75CB3BC641
-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
-99,E92E209F-9730-1FA4-906B-8ED4EC97D87E
-91,C2399E6E-8B3F-EF74-2F2C-54A555A467C9
-63,D7019209-3F13-A459-09DE-56A901DA7272
-79,17647DF7-789B-FFB5-6340-0961DA1F160F
-57,2B4B8D25-E2EF-A235-F9DD-95FCAB495231
-57,7D1D648C-8CED-928B-3483-B164419E75B2
-91,11C1940A-0663-7248-C19B-D8BC430ACFF1
-94,BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5
-98,C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2
