address,rssi
aterm-a188b6-a,-94
Buffalo-A-67EE,-92
Buffalo-A-8D88,-92
elecom2g-7e9329,-91
aterm-61c919-a,-91
Galaxy_5GMW_0145,-91
PS4-068BA6B1B560,-91
30AAE4F2481A-5G,-90
aterm-8347ee-g,-90
elecom-319ed85G,-90
A0957FD34E29-5G,-90
aterm-a188b6-g,-89
elecom-s-319ed8,-89
aterm-fc6db3-a,-89
ZEUSWiFi_3TU4XQ9L,-88
aterm-0ed314-a,-88
30AAE4F2481A-2G,-85
elecom2g-503c09,-85
aterm-61c919-g,-84
elecom-s-319ed8,-83
elecom-319ed8,-82
aterm-e5dc44-g,-80
Buffalo-G-67EE,-80
aterm-7b9be3-a,-78
aterm-7b9be3-g,-77
Buffalo-G-8D88,-76
aterm-75d65d-a,-76
aterm-fc6db3-g,-74
aterm-0ed314-g,-69
aterm-75d65d-a,-61
aterm-b81467-g,-60
aterm-ab3547-g,-55
aterm-a8d743-a,-48
aterm-b81467-a,-63
aterm-a8d743-a,-58
aterm-ab3547-a,-53
