address,rssi
PS4-068BA6B1B560,-93
Buffalo-24A0-WPA3,-92
Buffalo-G-FD80,-92
Buffalo-A-8D88,-91
30AAE4F2481A-5G,-90
Buffalo-G-0238,-90
elecom-319ed85G,-90
cong chua^^,-89
Buffalo-24A0,-89
aterm-4d5546-a,-89
elecom-s-319ed8,-89
Galaxy_5GMW_0145,-89
30AAE4F2481A-2G,-88
A0957FD34E29-5G,-87
aterm-8347ee-g,-86
aterm-0ed314-a,-86
aterm-fc6db3-a,-84
elecom-s-319ed8,-83
elecom-319ed8,-83
Buffalo-G-67EE,-80
aterm-7b9be3-a,-79
aterm-75d65d-a,-78
Buffalo-G-8D88,-78
aterm-61c919-g,-76
aterm-0ed314-g,-76
aterm-fc6db3-g,-71
aterm-b81467-g,-63
aterm-75d65d-a,-60
aterm-ab3547-g,-53
aterm-a8d743-a,-51
aterm-b81467-a,-65
aterm-a8d743-a,-61
aterm-ab3547-a,-55
