address,rssi
11C1940A-0663-7248-C19B-D8BC430ACFF1,-96.2074074074074
172B18DC-B707-90DC-78AD-B1513D7E0008,-96.56756756756756
17647DF7-789B-FFB5-6340-0961DA1F160F,-81.0
2B4B8D25-E2EF-A235-F9DD-95FCAB495231,-60.40625
2ED28E9D-6F83-EB49-CD25-5EA440A914FD,-95.85714285714286
30AAE4F2481A-2G,-88.26666666666667
30AAE4F2481A-5G,-91.0625
432B7170-4065-A9F5-7BEE-E4C5544F3007,-99.5
470BCD0E-4128-C60A-A81D-998F97C53329,-74.54054054054055
4FEC46E3-70DB-C064-C18B-BC831882AA6F,-94.73584905660377
5C6199C69A08-2G,-89.0
6444B5B4-C4E0-68A1-BD08-5C83D7EC1D83,-98.95238095238095
6BD08BE0-8B2A-20B6-A560-4FC4EF617827,-97.0
74A71196-ED21-B05C-1357-18750648483C,-68.66666666666667
7D1D648C-8CED-928B-3483-B164419E75B2,-62.03225806451613
81F196BD-260F-EAAE-C401-E007257D1532,-97.0
853B7D55-E7D9-ECEB-3160-A6F4294707C0,-99.57142857142857
854F8F25-A2F9-2F0F-8625-8BA1CBF11EB6,-98.0
98421ECE-25A4-08A3-E178-AA75CB3BC641,-75.06372549019608
9BB23540-973E-8E3E-1A3C-7F978B6AD7C2,-97.0
9EF71FC4-33A2-0F13-EA6C-D7E3B4567AAC,-65.76923076923077
A0957FD34E29-2G,-86.5
A0957FD34E29-5G,-88.6
AIT_8-605,-89.77777777777777
B301BB84-B42B-48CD-60A5-5335AD527DBB,-101.0
BF6B68B0-9ACB-9B22-A5B3-01D0D7215FD5,-94.6078431372549
Buffalo-24A0,-87.33333333333333
Buffalo-24A0-WPA3,-89.76923076923077
Buffalo-A-67EE,-91.6923076923077
Buffalo-A-8D88,-90.6842105263158
Buffalo-G-0238,-90.0
Buffalo-G-67EE,-80.15789473684211
Buffalo-G-8D88,-76.29411764705883
Buffalo-G-A6E8,-93.0
Buffalo-G-FD80,-91.5
C2399E6E-8B3F-EF74-2F2C-54A555A467C9,-86.73913043478261
C74B925A-8054-46CB-41E4-C4B29E76DA79,-99.0
C7EDFF73-0BAD-0EC9-06DC-1CA0F0FAA4A2,-97.26086956521739
D1757452-6CE4-179D-9EAE-D96A04E3BD4B,-86.0
D3E980EE-D197-FD7A-8835-18A2F91A40C9,-84.3125
D7019209-3F13-A459-09DE-56A901DA7272,-68.76960784313725
DE80E021-2854-E87A-CA81-D57DFE1E43FD,-101.0
DE9B07EA-0223-496F-3DB7-038A5AFAFA34,-101.11666666666666
E1BEC981-F150-F7B4-9462-855BE34E0B7F,-62.529411764705884
E92E209F-9730-1FA4-906B-8ED4EC97D87E,-99.79816513761467
Galaxy_5GMW_0145,-88.73684210526316
IODATA-e15db8-2G,-86.85714285714286
PS4-068BA6B1B560,-89.45
ZEUSWiFi_3TU4XQ9L,-88.0
aterm-0de71f-g,-90.0
aterm-0ed314-a,-86.82352941176471
aterm-0ed314-g,-72.0
aterm-4d5546-a,-89.0
aterm-61c919-a,-91.0
aterm-61c919-g,-81.1875
aterm-75d65d-a,-68.1
aterm-7b9be3-a,-80.95
aterm-7b9be3-g,-74.3076923076923
aterm-8347ee-g,-88.22222222222223
aterm-888ad9-a,-84.0
aterm-a188b6-a,-94.0
aterm-a188b6-g,-88.33333333333333
aterm-a8d743-a,-53.375
aterm-ab3547-a,-54.1578947368421
aterm-ab3547-g,-52.9
aterm-b81467-a,-65.95
aterm-b81467-g,-62.5
aterm-d13295-g,-87.0
aterm-dc9140-g,-86.0
aterm-e5dc44-g,-82.25
aterm-fc6db3-a,-86.35
aterm-fc6db3-g,-71.95
cong chua^^,-89.55555555555556
elecom-319ed8,-81.84210526315789
elecom-319ed85G,-89.15
elecom-s-319ed8,-85.97222222222223
elecom2g-503c09,-85.75
elecom2g-7e9329,-91.0
