SSID,RSSI
aterm-f6b548-a,-91
aterm-1d2fcf-a,-90
aterm-0de71f-a,-90
30AAE4F2481A-5G,-88
elecom-s-319ed8,-88
elecom-319ed85G,-88
Buffalo-A-A6E8,-87
aterm-d592e7-a,-85
Buffalo-A-8D88,-85
5C6199C69A08-5G,-83
aterm-a188b6-a,-83
5C6199B359B1-2G,-82
ZERO(2.4GHz),-81
Buffalo-A-67EE,-81
aterm-fc6db3-a,-80
aterm-0ed314-a,-80
PS4-068BA6B1B560,-79
HP-Print-27-Deskjet 3520 series,-78
aterm-fc6db3-g,-77
aterm-d592e7-g,-76
A0957FD34E29-2G,-76
A0957FD34E29-5G,-76
aterm-a188b6-g,-75
aterm-7b9be3-a,-75
aterm-61c919-a,-75
elecom-s-319ed8,-74
elecom-319ed8,-73
Buffalo-G-8D88,-68
aterm-0ed314-g,-66
Buffalo-G-67EE,-66
aterm-b81467-g,-65
aterm-7b9be3-g,-61
aterm-61c919-g,-56
aterm-75d65d-a,-54
aterm-ab3547-g,-44
aterm-75d65d-a,-69
aterm-a8d743-a,-39
aterm-b81467-a,-64
aterm-ab3547-a,-46
aterm-a8d743-a,-36
