SSID,RSSI
Buffalo-A-7A28,-91
aterm-f6b548-a,-90
aterm-1d2fcf-a,-89
aterm-0de71f-a,-89
30AAE4F2481A-5G,-86
Buffalo-A-8D88,-86
Buffalo-A-94F0,-85
aterm-d592e7-a,-85
Buffalo-A-A6E8,-85
elecom-s-319ed8,-84
elecom-319ed85G,-84
aterm-a188b6-a,-83
5C6199C69A08-5G,-82
aterm-4d5546-a,-81
aterm-fc6db3-a,-81
Buffalo-A-67EE,-80
aterm-0ed314-a,-80
cong chua^^,-79
aterm-8347ee-g,-75
A0957FD34E29-2G,-75
ZEUSWiFi_3TU4XQ9L,-75
A0957FD34E29-5G,-75
aterm-61c919-a,-75
001D73B7D6BE,-74
elecom-319ed8,-73
elecom-s-319ed8,-72
aterm-7b9be3-a,-72
aterm-fc6db3-g,-70
Buffalo-G-67EE,-68
Buffalo-G-8D88,-67
aterm-7b9be3-g,-65
aterm-0ed314-g,-65
aterm-b81467-g,-61
aterm-75d65d-a,-58
aterm-61c919-g,-56
aterm-ab3547-g,-45
aterm-a8d743-a,-40
aterm-75d65d-a,-69
aterm-b81467-a,-62
aterm-ab3547-a,-45
aterm-a8d743-a,-38
