SSID,RSSI
aterm-1d2fcf-a,-90
aterm-f6b548-a,-90
aterm-0de71f-a,-89
Buffalo-G-0238,-87
30AAE4F2481A-5G,-87
Buffalo-A-8D88,-86
Buffalo-A-A6E8,-85
elecom-s-319ed8,-85
elecom-319ed85G,-85
ZERO(2.4GHz),-83
aterm-d592e7-a,-83
aterm-a188b6-a,-83
5C6199C69A08-5G,-82
5C6199B359B1-2G,-80
aterm-fc6db3-a,-80
Buffalo-A-67EE,-80
aterm-0ed314-a,-80
elecom2g-503c09,-78
PS4-068BA6B1B560,-77
HP-Print-27-Deskjet 3520 series,-76
aterm-a188b6-g,-76
001D73B7D6BE,-75
aterm-8347ee-g,-75
elecom-319ed8,-75
A0957FD34E29-5G,-75
aterm-61c919-a,-75
aterm-7b9be3-a,-72
Buffalo-G-8D88,-71
elecom-s-319ed8,-69
A0957FD34E29-2G,-69
aterm-fc6db3-g,-68
Buffalo-G-67EE,-66
aterm-7b9be3-g,-64
aterm-0ed314-g,-62
aterm-b81467-g,-62
aterm-75d65d-a,-56
aterm-61c919-g,-56
aterm-ab3547-g,-48
aterm-a8d743-a,-40
aterm-75d65d-a,-67
aterm-b81467-a,-57
aterm-ab3547-a,-45
aterm-a8d743-a,-39
