SSID,RSSI
0C732939D41F-5G,-92
aterm-0de71f-a,-91
aterm-f6b548-a,-91
aterm-5a47f7-a,-90
Buffalo-A-A6E8,-88
TP-Link_C944,-88
30AAE4F2481A-5G,-87
aterm-e5dc44-a,-86
Buffalo-A-8D88,-85
5C6199C69A08-5G,-83
Buffalo-A-67EE,-83
aterm-d592e7-a,-83
aterm-a188b6-a,-82
aterm-fc6db3-a,-81
aterm-0ed314-a,-81
5C6199B359B1-2G,-80
elecom-s-319ed8,-80
elecom-319ed85G,-80
PS4-068BA6B1B560,-79
A0957FD34E29-2G,-78
5C6199C69A08-2G,-77
A0957FD34E29-5G,-75
aterm-61c919-a,-75
elecom-319ed8,-74
001D73B7D6BE,-74
aterm-7b9be3-a,-74
elecom-s-319ed8,-74
HP-Print-27-Deskjet 3520 series,-71
aterm-fc6db3-g,-68
Buffalo-G-8D88,-67
Buffalo-G-67EE,-67
aterm-7b9be3-g,-66
aterm-0ed314-g,-64
aterm-b81467-g,-61
aterm-61c919-g,-59
aterm-75d65d-a,-58
aterm-ab3547-g,-45
aterm-75d65d-a,-69
aterm-a8d743-a,-39
aterm-b81467-a,-63
aterm-ab3547-a,-47
aterm-a8d743-a,-37
