address,rssi
aterm-1d2fcf-a,-90
aterm-f6b548-a,-90
aterm-888ad9-a,-89
aterm-d13295-a,-89
aterm-0de71f-a,-89
30AAE4F2481A-5G,-87
Buffalo-A-8D88,-86
Buffalo-A-A6E8,-85
aterm-a188b6-a,-84
aterm-eadf3a-g,-83
aterm-4d5546-a,-83
Buffalo-G-7A28,-83
elecom-s-319ed8,-83
elecom-319ed85G,-83
Buffalo-24A0-WPA3,-82
aterm-d592e7-a,-82
Buffalo-A-67EE,-82
elecom-319ed8,-81
5C6199C69A08-5G,-81
aterm-0ed314-a,-80
ZERO(2.4GHz),-79
PS4-068BA6B1B560,-79
aterm-fc6db3-a,-79
5C6199C69A08-2G,-76
30AAE4F2481A-2G,-76
A0957FD34E29-2G,-76
A0957FD34E29-5G,-76
aterm-61c919-a,-76
001D73B7D6BE,-75
aterm-7b9be3-a,-74
aterm-8347ee-g,-73
aterm-fc6db3-g,-72
elecom-s-319ed8,-72
HP-Print-27-Deskjet 3520 series,-70
Buffalo-G-67EE,-69
Buffalo-G-8D88,-68
aterm-0ed314-g,-67
aterm-b81467-g,-59
aterm-61c919-g,-58
aterm-75d65d-a,-57
aterm-ab3547-g,-51
aterm-a8d743-a,-40
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-44
aterm-a8d743-a,-37
