SSID,RSSI
Buffalo-A-7A28,-91
aterm-f6b548-a,-90
aterm-a6da59-a,-89
aterm-1d2fcf-a,-89
aterm-0de71f-a,-89
30AAE4F2481A-5G,-88
Buffalo-A-8D88,-87
Galaxy_5GMW_0145,-85
BC8556DF4471,-85
aterm-92d48a-g,-85
aterm-a188b6-a,-85
elecom-s-319ed8,-85
elecom-319ed85G,-85
Buffalo-G-2F50,-84
Buffalo-G-7A28,-84
aterm-d592e7-a,-84
Buffalo-A-A6E8,-83
A0957FD34E29-2G,-82
aterm-888ad9-a,-81
5C6199C69A08-5G,-81
Buffalo-A-67EE,-81
aterm-0ed314-a,-80
30AAE4F2481A-2G,-79
aterm-8347ee-g,-79
PS4-068BA6B1B560,-79
elecom2g-503c09,-78
elecom-319ed8,-78
aterm-fc6db3-a,-78
elecom-s-319ed8,-78
aterm-61c919-a,-75
aterm-7b9be3-a,-74
A0957FD34E29-5G,-74
001D73B7D6BE,-72
aterm-e5dc44-g,-71
Buffalo-G-67EE,-70
Buffalo-G-8D88,-69
aterm-fc6db3-g,-67
aterm-75d65d-a,-62
aterm-b81467-g,-61
aterm-61c919-g,-55
aterm-ab3547-g,-49
aterm-a8d743-a,-42
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-44
aterm-a8d743-a,-39
