address,rssi
Buffalo-A-7A28,-91
aterm-f6b548-a,-90
aterm-5a47f7-a,-89
aterm-1d2fcf-a,-89
aterm-0de71f-a,-89
30AAE4F2481A-5G,-87
Buffalo-A-8D88,-86
Buffalo-A-94F0,-85
Buffalo-A-A6E8,-85
elecom-319ed85G,-84
5C6199C69A08-5G,-83
elecom-s-319ed8,-83
aterm-a188b6-a,-83
aterm-fc6db3-a,-82
Buffalo-24A0-WPA3,-81
Buffalo-A-67EE,-81
ZERO(2.4GHz),-79
aterm-0ed314-a,-79
A0957FD34E29-5G,-76
HP-Print-27-Deskjet 3520 series,-75
aterm-8347ee-g,-75
aterm-61c919-a,-75
001D73B7D6BE,-73
aterm-7b9be3-a,-73
elecom-s-319ed8,-71
A0957FD34E29-2G,-68
aterm-fc6db3-g,-68
Buffalo-G-8D88,-67
Buffalo-G-67EE,-66
aterm-0ed314-g,-63
aterm-b81467-g,-63
aterm-75d65d-a,-59
elecom-319ed8,-58
aterm-61c919-g,-56
aterm-ab3547-g,-45
aterm-a8d743-a,-40
aterm-75d65d-a,-67
aterm-b81467-a,-63
aterm-ab3547-a,-45
aterm-a8d743-a,-39
