address,rssi
Buffalo-A-7A28,-92
aterm-888ad9-a,-90
aterm-f6b548-a,-90
aterm-0de71f-a,-90
aterm-e5dc44-a,-89
rt500m-7d5a61-1,-88
30AAE4F2481A-5G,-88
Buffalo-A-8118,-86
Buffalo-A-8D88,-86
aterm-a188b6-a,-85
elecom-s-319ed8,-85
elecom-319ed85G,-85
aterm-d592e7-a,-85
Buffalo-A-A6E8,-84
aterm-4d5546-a,-82
Buffalo-24A0-WPA3,-81
PS4-068BA6B1B560,-81
aterm-0ed314-a,-81
5C6199C69A08-5G,-81
Buffalo-A-67EE,-81
Buffalo-G-7A28,-80
5C6199B359B1-2G,-79
aterm-fc6db3-a,-79
aterm-d592e7-g,-77
aterm-61c919-a,-77
aterm-a188b6-g,-76
ZEUSWiFi_3TU4XQ9L,-76
aterm-8347ee-g,-75
elecom-319ed8,-75
A0957FD34E29-2G,-75
001D73B7D6BE,-75
aterm-7b9be3-a,-74
A0957FD34E29-5G,-74
elecom-s-319ed8,-74
aterm-0ed314-g,-71
Buffalo-G-67EE,-70
aterm-fc6db3-g,-69
HP-Print-27-Deskjet 3520 series,-69
Buffalo-G-8D88,-68
aterm-b81467-g,-65
aterm-7b9be3-g,-62
aterm-61c919-g,-56
aterm-ab3547-g,-51
aterm-a8d743-a,-42
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-45
aterm-a8d743-a,-38
