SSID,RSSI
aterm-f6b548-a,-93
aterm-a6da59-a,-90
aterm-1d2fcf-a,-89
aterm-0de71f-a,-89
Buffalo-A-A6E8,-87
30AAE4F2481A-5G,-87
elecom-s-319ed8,-86
Buffalo-A-8D88,-86
aterm-d592e7-a,-85
elecom-319ed85G,-85
5C6199C69A08-5G,-83
5C6199B359B1-2G,-82
Buffalo-A-67EE,-81
aterm-a188b6-a,-81
aterm-fc6db3-a,-80
aterm-0ed314-a,-80
HP-Print-27-Deskjet 3520 series,-78
aterm-8347ee-g,-77
aterm-fc6db3-g,-77
aterm-d592e7-g,-76
aterm-a188b6-g,-75
elecom-s-319ed8,-75
A0957FD34E29-5G,-75
aterm-61c919-a,-75
aterm-7b9be3-a,-74
elecom-319ed8,-73
Buffalo-G-8D88,-72
A0957FD34E29-2G,-69
Buffalo-G-67EE,-67
aterm-0ed314-g,-66
aterm-7b9be3-g,-65
aterm-b81467-g,-65
aterm-61c919-g,-59
aterm-75d65d-a,-57
aterm-ab3547-g,-46
aterm-75d65d-a,-69
aterm-a8d743-a,-39
aterm-b81467-a,-64
aterm-ab3547-a,-46
aterm-a8d743-a,-37
