SSID,RSSI
aterm-0de71f-a,-92
aterm-f6b548-a,-91
aterm-a6da59-a,-88
30AAE4F2481A-5G,-88
Buffalo-A-A6E8,-87
Buffalo-A-8D88,-85
5C6199C69A08-5G,-84
Buffalo-24A0-WPA3,-83
elecom-s-319ed8,-83
aterm-d592e7-a,-83
elecom-319ed85G,-82
aterm-a188b6-a,-82
aterm-0ed314-a,-81
Buffalo-24A0,-80
aterm-fc6db3-a,-80
Buffalo-A-67EE,-80
aterm-4d5546-a,-78
A0957FD34E29-2G,-77
elecom-s-319ed8,-76
aterm-8347ee-g,-76
001D73B7D6BE,-75
aterm-7b9be3-a,-75
A0957FD34E29-5G,-75
aterm-61c919-a,-75
HP-Print-27-Deskjet 3520 series,-74
elecom-319ed8,-73
Buffalo-G-8D88,-68
Buffalo-G-67EE,-66
aterm-b81467-g,-64
aterm-0ed314-g,-63
aterm-61c919-g,-59
aterm-75d65d-a,-57
aterm-ab3547-g,-46
aterm-a8d743-a,-40
aterm-75d65d-a,-69
aterm-b81467-a,-63
aterm-ab3547-a,-46
aterm-a8d743-a,-37
