address,rssi
aterm-f6b548-a,-90
aterm-5a47f7-a,-89
aterm-1d2fcf-a,-89
aterm-0de71f-a,-89
30AAE4F2481A-5G,-88
Buffalo-A-8D88,-87
Buffalo-A-94F0,-85
aterm-d592e7-a,-85
Buffalo-A-A6E8,-85
elecom-s-319ed8,-84
elecom-319ed85G,-84
aterm-a188b6-a,-83
Buffalo-24A0-WPA3,-81
aterm-4d5546-a,-81
aterm-fc6db3-a,-80
Buffalo-A-67EE,-80
cong chua^^,-79
aterm-0ed314-a,-79
aterm-61c919-a,-76
HP-Print-27-Deskjet 3520 series,-75
aterm-8347ee-g,-75
ZEUSWiFi_3TU4XQ9L,-75
A0957FD34E29-5G,-75
001D73B7D6BE,-74
aterm-7b9be3-a,-72
elecom-s-319ed8,-71
aterm-fc6db3-g,-68
Buffalo-G-67EE,-68
Buffalo-G-8D88,-67
aterm-0ed314-g,-64
aterm-b81467-g,-62
aterm-75d65d-a,-59
elecom-319ed8,-58
aterm-61c919-g,-56
aterm-ab3547-g,-44
aterm-a8d743-a,-41
aterm-75d65d-a,-68
aterm-b81467-a,-62
aterm-ab3547-a,-45
aterm-a8d743-a,-39
