SSID,RSSI
6885A47A3A0F-5G,-92
Buffalo-A-7A28,-92
aterm-f6b548-a,-90
30AAE4F2481A-5G,-89
aterm-0de71f-a,-88
Buffalo-A-A6E8,-87
Buffalo-A-8D88,-86
aterm-a188b6-a,-85
5C6199C69A08-5G,-84
aterm-d592e7-g,-84
elecom-s-319ed8,-84
elecom-319ed85G,-84
aterm-0de71f-g,-84
Buffalo-A-67EE,-83
aterm-d592e7-a,-83
5C6199B359B1-2G,-82
aterm-61c919-a,-80
aterm-0ed314-a,-79
aterm-fc6db3-a,-79
Buffalo-G-A6E8,-77
001D73B7D6BE,-76
A0957FD34E29-5G,-76
aterm-7b9be3-a,-74
A0957FD34E29-2G,-74
elecom-319ed8,-74
aterm-75d65d-a,-71
Buffalo-G-67EE,-70
aterm-61c919-g,-68
Buffalo-G-8D88,-68
aterm-fc6db3-g,-68
aterm-0ed314-g,-67
elecom-s-319ed8,-66
aterm-b81467-g,-61
aterm-75d65d-a,-55
aterm-ab3547-g,-47
aterm-a8d743-a,-43
aterm-b81467-a,-63
aterm-ab3547-a,-46
aterm-a8d743-a,-38
