SSID,RSSI
aterm-0de71f-a,-91
aterm-f6b548-a,-91
aterm-5a47f7-a,-90
aterm-d13295-a,-89
30AAE4F2481A-5G,-87
483E5EB5F92F-2G,-86
Buffalo-A-8D88,-85
aterm-d592e7-a,-85
5C6199C69A08-5G,-83
aterm-0ed314-a,-83
aterm-a188b6-a,-82
elecom-s-319ed8,-81
elecom-319ed85G,-81
aterm-5a47f7-a,-80
Buffalo-A-67EE,-80
aterm-fc6db3-a,-79
A0957FD34E29-2G,-78
001D73B7D6BE,-78
5C6199C69A08-2G,-77
A0957FD34E29-5G,-77
PS4-068BA6B1B560,-75
aterm-61c919-a,-75
elecom-319ed8,-74
elecom-s-319ed8,-74
aterm-7b9be3-a,-73
aterm-a188b6-g,-73
aterm-fc6db3-g,-69
Buffalo-G-8D88,-68
HP-Print-27-Deskjet 3520 series,-67
Buffalo-G-67EE,-67
aterm-7b9be3-g,-66
aterm-0ed314-g,-63
aterm-b81467-g,-62
aterm-61c919-g,-60
aterm-75d65d-a,-56
aterm-ab3547-g,-49
aterm-a8d743-a,-39
aterm-75d65d-a,-68
aterm-b81467-a,-64
aterm-ab3547-a,-46
aterm-a8d743-a,-37
