SSID,RSSI
aterm-4d5546-a,-90
aterm-f6b548-a,-90
aterm-1d2fcf-a,-89
aterm-0de71f-a,-89
30AAE4F2481A-5G,-87
Buffalo-A-8D88,-86
Buffalo-A-A6E8,-86
aterm-a188b6-a,-85
elecom-s-319ed8,-84
elecom-319ed85G,-84
aterm-d592e7-a,-84
aterm-0de71f-g,-82
Buffalo-A-67EE,-81
PS4-068BA6B1B560,-80
5C6199C69A08-5G,-80
aterm-fc6db3-a,-79
aterm-a8d743-a,-79
aterm-0ed314-a,-78
elecom-319ed8,-77
aterm-8347ee-g,-76
30AAE4F2481A-2G,-76
A0957FD34E29-2G,-76
5C6199C69A08-2G,-75
aterm-a188b6-g,-75
HP-Print-27-Deskjet 3520 series,-75
001D73B7D6BE,-75
A0957FD34E29-5G,-75
aterm-61c919-a,-75
aterm-7b9be3-a,-73
Buffalo-G-67EE,-70
Buffalo-G-8D88,-68
aterm-0ed314-g,-68
aterm-7b9be3-g,-66
aterm-b81467-g,-60
aterm-75d65d-a,-58
aterm-61c919-g,-54
aterm-ab3547-g,-51
aterm-75d65d-a,-69
aterm-b81467-a,-63
aterm-ab3547-a,-44
aterm-a8d743-a,-37
